# Tiempo Datos
0.000000000000000000e+00 9.500884175255893682e-01
4.444444444444444657e-05 -1.513572082976978872e-01
8.888888888888889315e-05 -1.032188517935578448e-01
1.333333333333333397e-04 4.105985019383723289e-01
1.777777777777777863e-04 1.440435711608779867e-01
2.222222222222222329e-04 1.454273506962975082e+00
2.666666666666666794e-04 7.610377251469934157e-01
3.111111111111111260e-04 1.216750164928284139e-01
3.555555555555555726e-04 4.438632327454256621e-01
4.000000000000000192e-04 3.336743273742668325e-01
4.444444444444444657e-04 1.494079073157606130e+00
4.888888888888889665e-04 -2.051582637658008745e-01
5.333333333333333589e-04 3.130677016509013644e-01
5.777777777777777513e-04 -8.540957393017247767e-01
6.222222222222222520e-04 -2.552989815834078691e+00
6.666666666666667528e-04 6.536185954403606058e-01
7.111111111111111452e-04 8.644361988595057333e-01
7.555555555555555376e-04 -7.421650204064419443e-01
8.000000000000000383e-04 2.269754623987607633e+00
8.444444444444445391e-04 -1.454365674598764757e+00
8.888888888888889315e-04 4.575851730144606805e-02
9.333333333333333239e-04 -1.871838500258335980e-01
9.777777777777779331e-04 1.532779214358457542e+00
1.022222222222222325e-03 1.469358769900285022e+00
1.066666666666666718e-03 1.549474256969163022e-01
1.111111111111111110e-03 3.781625196021735635e-01
1.155555555555555503e-03 -8.877857476301127537e-01
1.200000000000000112e-03 -1.980796468223926965e+00
1.244444444444444504e-03 -3.479121493261526088e-01
1.288888888888888896e-03 1.563489691039800511e-01
1.333333333333333506e-03 1.230290680727720742e+00
1.377777777777777898e-03 1.202379848784411287e+00
1.422222222222222290e-03 -3.873268174079522730e-01
1.466666666666666683e-03 -3.023027505753355659e-01
1.511111111111111075e-03 -1.048552965067092613e+00
1.555555555555555684e-03 -1.420017937178975176e+00
1.600000000000000077e-03 -1.706270190625012617e+00
1.644444444444444469e-03 1.950775395231789666e+00
1.688888888888889078e-03 -5.096521817516534991e-01
1.733333333333333471e-03 -4.380743016111863786e-01
1.777777777777777863e-03 -1.252795360049926199e+00
1.822222222222222255e-03 7.774903558319100627e-01
1.866666666666666648e-03 -1.613897847557951515e+00
1.911111111111111257e-03 -2.127402802139687077e-01
1.955555555555555866e-03 -8.954665611936756253e-01
2.000000000000000042e-03 3.869024978592620068e-01
2.044444444444444651e-03 -5.108051375688730245e-01
2.088888888888888826e-03 -1.180632184122412109e+00
2.133333333333333436e-03 -2.818222833865486818e-02
2.177777777777778045e-03 4.283318705304176577e-01
2.222222222222222220e-03 6.651722238316788716e-02
2.266666666666666829e-03 3.024718977397813924e-01
2.311111111111111005e-03 -6.343220936809635946e-01
2.355555555555555614e-03 -3.627411659871381255e-01
2.400000000000000223e-03 -6.724604477759510424e-01
2.444444444444444399e-03 -3.595531615405412884e-01
2.488888888888889008e-03 -8.131462820444540496e-01
2.533333333333333617e-03 -1.726282602331676852e+00
2.577777777777777793e-03 1.774261422537528332e-01
2.622222222222222402e-03 -4.017809362082618851e-01
2.666666666666667011e-03 -1.630198346966044598e+00
2.711111111111111187e-03 4.627822555257741777e-01
2.755555555555555796e-03 -9.072983643832421841e-01
2.799999999999999972e-03 5.194539579613895175e-02
2.844444444444444581e-03 7.290905621775368717e-01
2.888888888888889190e-03 1.289829107574106681e-01
2.933333333333333365e-03 1.139400684543300679e+00
2.977777777777777975e-03 -1.234825820353652626e+00
3.022222222222222150e-03 4.023416411775490031e-01
3.066666666666666759e-03 -6.848100909403131986e-01
3.111111111111111369e-03 -8.707971491818817800e-01
3.155555555555555544e-03 -5.788496647644154613e-01
3.200000000000000153e-03 -3.115525321273726611e-01
3.244444444444444763e-03 5.616534222974543800e-02
3.288888888888888938e-03 -1.165149840783356483e+00
3.333333333333333547e-03 9.008264869541871001e-01
3.377777777777778156e-03 4.656624397304598428e-01
3.422222222222222332e-03 -1.536243686277223741e+00
3.466666666666666941e-03 1.488252193795599698e+00
3.511111111111111117e-03 1.895889176030583156e+00
3.555555555555555726e-03 1.178779571159650708e+00
3.600000000000000335e-03 -1.799248358123509139e-01
3.644444444444444511e-03 -1.070752621510542513e+00
3.688888888888889120e-03 1.054451726931136646e+00
3.733333333333333295e-03 -4.031769469731796285e-01
3.777777777777777905e-03 1.222445070382427446e+00
3.822222222222222514e-03 2.082749780768602954e-01
3.866666666666666689e-03 9.766390364837127525e-01
3.911111111111111732e-03 3.563663971744018832e-01
3.955555555555555908e-03 7.065731681919481533e-01
4.000000000000000083e-03 1.050002072082047849e-02
4.044444444444444259e-03 1.785870493905835188e+00
4.088888888888889302e-03 1.269120927036199165e-01
4.133333333333333477e-03 4.019893634447016528e-01
4.177777777777777653e-03 1.883150697056254375e+00
4.222222222222222696e-03 -1.347759061142446368e+00
4.266666666666666871e-03 -1.270484998485733596e+00
4.311111111111111047e-03 9.693967081580111556e-01
4.355555555555556090e-03 -1.173123405114159912e+00
4.400000000000000265e-03 1.943621185649292649e+00
4.444444444444444441e-03 -4.136189807597473456e-01
4.488888888888889483e-03 -7.474548114407577604e-01
4.533333333333333659e-03 1.922942026480384703e+00
4.577777777777777835e-03 1.480514791434424327e+00
4.622222222222222010e-03 1.867558960426569881e+00
4.666666666666667053e-03 9.060446582753852729e-01
4.711111111111111228e-03 -8.612256850547025389e-01
4.755555555555555404e-03 1.910064953099033680e+00
4.800000000000000447e-03 -2.680033709513803819e-01
4.844444444444444622e-03 8.024563957963951610e-01
4.888888888888888798e-03 9.472519677737479826e-01
4.933333333333333841e-03 -1.550100930908341890e-01
4.977777777777778016e-03 6.140793703460802888e-01
5.022222222222222192e-03 9.222066715665268033e-01
5.066666666666667235e-03 3.764255311556294337e-01
5.111111111111111410e-03 -1.099400790584194487e+00
5.155555555555555586e-03 2.982381742060559726e-01
5.200000000000000629e-03 1.326385896687030330e+00
5.244444444444444804e-03 -6.945678597313654778e-01
5.288888888888888980e-03 -1.496345403276707620e-01
5.333333333333334023e-03 -4.351535517216374438e-01
5.377777777777778198e-03 1.849263728479341840e+00
5.422222222222222374e-03 6.722947570124354622e-01
5.466666666666666549e-03 4.074618362411104311e-01
5.511111111111111592e-03 -7.699160744453164007e-01
5.555555555555555768e-03 5.392491912918172536e-01
5.599999999999999943e-03 -6.743326606573760706e-01
5.644444444444444986e-03 3.183055827435118251e-02
5.688888888888889162e-03 -6.358460783788809634e-01
5.733333333333333337e-03 6.764332949464997302e-01
5.777777777777778380e-03 5.765908166149409375e-01
5.822222222222222555e-03 -2.082987555779948763e-01
5.866666666666666731e-03 3.960067126616452771e-01
5.911111111111111774e-03 -1.093061508730505782e+00
5.955555555555555949e-03 -1.491257592705605539e+00
6.000000000000000125e-03 4.393917012645369158e-01
6.044444444444444300e-03 1.666734953725290402e-01
6.088888888888889343e-03 6.350314368921063934e-01
6.133333333333333519e-03 2.383144774863942050e+00
6.177777777777777694e-03 9.444794869904138412e-01
6.222222222222222737e-03 -9.128222254441585859e-01
6.266666666666666913e-03 1.117016288095852961e+00
6.311111111111111088e-03 -1.315907410511521158e+00
6.355555555555556131e-03 -4.615846048147089764e-01
6.400000000000000307e-03 -6.824160532463123541e-02
6.444444444444444482e-03 1.713342721649366629e+00
6.488888888888889525e-03 -7.447548220484399017e-01
6.533333333333333701e-03 -8.264385386590143989e-01
6.577777777777777876e-03 -9.845252442543230009e-02
6.622222222222222919e-03 -6.634782863621073723e-01
6.666666666666667095e-03 1.126635922106506982e+00
6.711111111111111270e-03 -1.079931508363423331e+00
6.755555555555556313e-03 -1.147468652411102408e+00
6.800000000000000488e-03 -4.378200447444340337e-01
6.844444444444444664e-03 -4.980324506923048955e-01
6.888888888888888840e-03 1.929532053816985782e+00
6.933333333333333882e-03 9.494208069257608074e-01
6.977777777777778058e-03 8.755124138519089494e-02
7.022222222222222233e-03 -1.225435518830167991e+00
7.066666666666667276e-03 8.443629764015471162e-01
7.111111111111111452e-03 -1.000215347389564746e+00
7.155555555555555627e-03 -1.544771096777611596e+00
7.200000000000000670e-03 1.188029792352301772e+00
7.244444444444444846e-03 3.169426119248496265e-01
7.288888888888889021e-03 9.208588237808189580e-01
7.333333333333334064e-03 3.187276529430211891e-01
7.377777777777778240e-03 8.568306119026911638e-01
7.422222222222222415e-03 -6.510255933001468653e-01
7.466666666666666591e-03 -1.034242841784464684e+00
7.511111111111111634e-03 6.815945182816269821e-01
7.555555555555555809e-03 -8.034096641738410760e-01
7.599999999999999985e-03 -6.895497777502005432e-01
7.644444444444445028e-03 -4.555325035173431458e-01
7.688888888888889203e-03 1.747915902505672858e-02
7.733333333333333379e-03 -3.539939112534839505e-01
7.777777777777778422e-03 -1.374951293418018805e+00
7.822222222222223464e-03 -6.436184028328905127e-01
7.866666666666667640e-03 -2.223403152224426638e+00
7.911111111111111815e-03 6.252314510271874681e-01
7.955555555555555991e-03 -1.602057655606747621e+00
8.000000000000000167e-03 -1.104383339428450572e+00
